Numero de iteracoes: 24
Erro: 9.44707e-07
Tempo de Resolucao do Problema: 9319.47 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
1.58	0.113788	0.013385	0.0103613	0.0108316	0.0115723	0.0127497	0.00948908	0.0106991	0.0125057	0.015351	0.0201713	0.028876	0.0160805	0.0159232	0.0129448	0.00462142	0.00144	0.000125949	2.21289e-05	
1.6	0.112133	0.0132631	0.0102697	0.0107387	0.0114764	0.0126479	0.00941568	0.0106185	0.0124136	0.01524	0.0200269	0.0286698	0.0159936	0.0158416	0.0128808	0.00460033	0.00143344	0.000125383	2.20293e-05	
1.62	0.110507	0.0131419	0.0101786	0.0106462	0.0113808	0.0125464	0.00934243	0.0105379	0.0123216	0.0151291	0.0198825	0.0284633	0.0159059	0.015759	0.0128159	0.00457887	0.00142676	0.000124806	2.19278e-05	
1.64	0.108908	0.0130214	0.010088	0.0105542	0.0112856	0.0124452	0.00926935	0.0104575	0.0122297	0.0150181	0.019738	0.0282568	0.0158174	0.0156754	0.0127501	0.00455703	0.00141997	0.000124219	2.18245e-05	
1.66	0.107336	0.0129017	0.00999783	0.0104626	0.0111908	0.0123444	0.00919645	0.0103772	0.0121379	0.0149073	0.0195936	0.0280502	0.0157281	0.0155909	0.0126835	0.00453485	0.00141307	0.000123623	2.17194e-05	
1.68	0.10579	0.0127827	0.00990822	0.0103714	0.0110964	0.0122439	0.00912375	0.0102971	0.0120462	0.0147966	0.0194492	0.0278437	0.0156381	0.0155056	0.0126161	0.00451234	0.00140606	0.000123017	2.16128e-05	
1.7	0.10427	0.0126645	0.00981913	0.0102808	0.0110025	0.0121437	0.00905126	0.0102172	0.0119546	0.0146859	0.019305	0.0276373	0.0155473	0.0154195	0.012548	0.00448951	0.00139895	0.000122402	2.15045e-05	
1.72	0.102776	0.0125471	0.00973056	0.0101906	0.0109089	0.012044	0.00897899	0.0101375	0.0118633	0.0145755	0.0191609	0.0274309	0.015456	0.0153326	0.0124792	0.00446638	0.00139175	0.000121778	2.13948e-05	
1.74	0.101306	0.0124304	0.00964254	0.0101009	0.0108158	0.0119446	0.00890695	0.010058	0.0117721	0.0144652	0.0190169	0.0272248	0.015364	0.015245	0.0124097	0.00444297	0.00138446	0.000121147	2.12837e-05	
1.76	0.0998612	0.0123146	0.00955506	0.0100117	0.0107232	0.0118456	0.00883516	0.00997869	0.0116811	0.0143551	0.0188732	0.0270189	0.0152715	0.0151567	0.0123396	0.00441929	0.00137709	0.000120508	2.11712e-05	
1.78	0.0984399	0.0121995	0.00946813	0.009923	0.010631	0.0117471	0.00876362	0.00989964	0.0115904	0.0142452	0.0187297	0.0268133	0.0151785	0.0150678	0.0122689	0.00439535	0.00136963	0.000119861	2.10575e-05	
